iter	Logloss
0	0.6040698853
1	0.536493103
2	0.4903999939
3	0.4510961914
4	0.4227007446
5	0.3992324829
6	0.3817598267
7	0.3702908325
8	0.3592050171
9	0.3482373657
10	0.3400173035
11	0.3339127197
12	0.3281567688
13	0.3225857544
14	0.3196965332
15	0.3168036499
16	0.3123053284
17	0.3101865234
18	0.3080488281
19	0.3055422974
20	0.3028908081
21	0.3011891174
22	0.2997844849
23	0.2983877869
24	0.296873291
25	0.2953922119
26	0.2939916992
27	0.2928150635
28	0.2920479736
29	0.2912169189
30	0.2900688477
31	0.2894759521
32	0.2886261292
33	0.2878060608
34	0.2869446716
35	0.2863304749
36	0.2856175537
37	0.2850931396
38	0.2845672607
39	0.2839618835
