iter	Logloss
0	0.6131064097
1	0.5736120224
2	0.5169023514
3	0.4718657811
4	0.4486295064
5	0.4223254522
6	0.3979718526
7	0.3826939901
8	0.3683399518
9	0.351690038
10	0.3420164426
11	0.3306095759
12	0.3207752228
13	0.3129913966
14	0.3055490494
15	0.2996635755
16	0.2913049062
17	0.2834650675
18	0.2727355957
19	0.2671096484
20	0.2628106753
21	0.2559212208
22	0.2517365138
23	0.2470849832
24	0.2432925542
25	0.2394323508
26	0.2348332405
27	0.2307292938
28	0.2259381294
29	0.2221433322
30	0.2196952184
31	0.2151309967
32	0.2108330091
33	0.2076323191
34	0.205164957
35	0.2030551116
36	0.200778389
37	0.1976032575
38	0.1950125058
39	0.1928487142
